,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,marzuq,14.4,46.4667,83.7,47,54,9.8,YE,1659855305
287,dunedin,-45.8742,170.5036,41.81,65,100,1.99,NZ,1659855046
288,novo aripuana,-5.1206,-60.3797,77.59,69,86,1.28,BR,1659855305
289,challans,46.8436,-1.8749,64.6,47,0,14.94,FR,1659855305
290,pinotepa nacional,16.3167,-98.0167,74.41,95,100,2.73,MX,1659855306
291,moranbah,-22.0016,148.0466,71.19,45,1,7.25,AU,1659855306
292,kruisfontein,-34.0033,24.7314,56.88,87,93,19.01,ZA,1659855306
293,uruguaiana,-29.7547,-57.0883,48.13,93,0,16.11,BR,1659855306
294,mkushi,-13.6202,29.3939,68.14,35,0,8.84,ZM,1659855307
295,salym,60.0625,71.4789,76.28,44,94,8.68,RU,1659855307
296,lorengau,-2.0226,147.2712,83.44,72,85,8.23,PG,1659855307
297,san rafael del sur,11.8485,-86.4384,76.17,80,100,10.47,NI,1659855307
298,haines junction,60.7522,-137.5108,49.95,66,83,5.75,CA,1659855308
299,oriximina,-1.7656,-55.8661,73.35,88,53,3.29,BR,1659855194
300,penzance,50.1186,-5.5371,59.68,73,58,13.06,GB,1659855308
301,katsuura,35.1333,140.3,83.03,81,16,10.47,JP,1659855308
302,tucupita,9.0622,-62.051,73.18,99,29,2.89,VE,1659855308
303,son la,21.3167,103.9,71.31,99,100,2.19,VN,1659855024
304,ayr,55.4627,-4.6339,59.31,88,100,17.27,GB,1659855309
305,sturgis,41.7992,-85.4192,77.13,90,0,5.75,US,1659855309
306,homa bay,-0.5273,34.4571,75.42,52,99,1.39,KE,1659855309
307,yumen,40.2833,97.2,79.75,33,93,10.42,CN,1659855310
308,mehriz,31.5917,54.4318,93.7,14,0,6.29,IR,1659855310
309,tocache,-8.1842,-76.5125,67.68,99,70,0.2,PE,1659855310
310,hovd,48.0056,91.6419,75.29,25,20,8.59,MN,1659855310
311,kutum,14.2,24.6667,78.71,55,68,7.4,SD,1659855311
312,bafq,31.6128,55.4107,96.21,11,0,0.96,IR,1659855311
313,serenje,-13.2325,30.2352,64.94,42,0,7.99,ZM,1659855311
314,sambava,-14.2667,50.1667,73.78,59,3,10.67,MG,1659855311
315,san patricio,28.017,-97.5169,84.88,81,6,11.68,US,1659855312
316,cozumel,20.5083,-86.9458,80.06,84,100,8.93,MX,1659855125
317,grootfontein,-19.5667,18.1167,53.17,47,0,3.44,NA,1659855312
318,nantucket,41.2835,-70.0995,78.91,94,40,12.66,US,1659855149
319,egvekinot,66.3167,-179.1667,48.97,66,74,4.43,RU,1659855312
320,popondetta,-8.7537,148.2534,82.58,72,67,5.82,PG,1659855312
321,mayor pablo lagerenza,-19.9309,-60.7718,69.46,77,100,5.26,PY,1659855313
322,guerrero negro,27.9769,-114.0611,71.47,87,97,5.44,MX,1659855313
323,vestmannaeyjar,63.4427,-20.2734,52.63,88,100,21.07,IS,1659855313
324,zhanakorgan,43.9098,67.2495,87.1,25,100,5.64,KZ,1659855314
325,kaeo,-35.1,173.7833,59.32,96,100,8.14,NZ,1659855314
326,vila franca do campo,37.7167,-25.4333,72.01,88,29,4.92,PT,1659855314
327,novopokrovka,49.8425,36.5477,82.78,32,0,8.39,UA,1659855314
328,santiago de chuco,-8.15,-78.1833,50.68,81,99,2.33,PE,1659855315
329,moerai,-22.4333,-151.3333,70.88,58,91,26.44,PF,1659855315
330,provideniya,64.3833,-173.3,47.91,96,100,8.43,RU,1659855315
331,ustupo,9.1333,-77.9333,76.28,92,100,4.0,PA,1659855315
332,bubaque,11.2833,-15.8333,77.86,86,100,8.99,GW,1659855316
333,tome,-36.6167,-72.95,48.81,93,100,5.1,CL,1659855316
334,talcahuano,-36.7167,-73.1167,49.68,100,100,8.05,CL,1659855316
335,rio branco,-9.9747,-67.81,72.21,100,100,2.3,BR,1659855316
336,borovany,48.8986,14.6423,64.11,77,16,4.56,CZ,1659855317
337,valverde del camino,37.5751,-6.7543,63.03,70,0,3.71,ES,1659855317
338,florianopolis,-27.6146,-48.5012,58.41,99,100,1.14,BR,1659855018
339,polson,47.6936,-114.1632,56.21,57,0,4.27,US,1659855317
340,porto novo,6.4965,2.6036,73.22,82,16,7.4,BJ,1659855318
341,moron,-34.6534,-58.6198,53.35,77,93,7.49,AR,1659855318
342,carauari,-4.8828,-66.8958,71.55,97,70,0.76,BR,1659855318
343,valparaiso,-33.0393,-71.6273,52.48,100,100,4.61,CL,1659855318
344,impfondo,1.6381,18.0667,77.43,80,100,3.76,CG,1659855319
345,tuatapere,-46.1333,167.6833,36.36,89,88,9.08,NZ,1659855319
346,marsa matruh,31.3525,27.2453,82.6,83,75,16.11,EG,1659855255
347,nara,34.6851,135.8049,92.91,68,73,2.71,JP,1659855274
348,wewak,-3.5534,143.6268,83.1,77,98,7.63,PG,1659855319
349,muli,2.9167,73.5667,82.04,77,87,11.41,MV,1659855320
350,ibra,22.6906,58.5334,101.16,22,9,3.0,OM,1659855320
351,adiake,5.2863,-3.304,73.6,77,75,4.65,CI,1659855320
352,kuytun,54.3419,101.5036,61.68,51,100,7.65,RU,1659855320
353,soubre,5.7856,-6.6083,66.52,95,24,1.1,CI,1659855321
354,palauig,15.435,119.9045,80.62,81,100,16.31,PH,1659855321
355,takoradi,4.8845,-1.7554,72.79,81,61,3.58,GH,1659855321
356,kavieng,-2.5744,150.7967,83.32,70,35,8.43,PG,1659855321
357,faya,18.3851,42.4509,71.71,57,100,6.35,SA,1659855322
358,yelizovo,53.1873,158.3805,62.74,67,75,6.71,RU,1659855322
359,axim,4.8699,-2.2405,74.3,74,89,3.85,GH,1659855322
360,manta,-0.95,-80.7333,71.38,88,100,4.61,EC,1659855322
361,tadine,-21.55,167.8833,74.34,80,1,5.19,NC,1659855323
362,baruun-urt,46.6806,113.2792,69.01,38,98,8.21,MN,1659855323
363,aswan,24.0934,32.907,94.3,18,0,8.05,EG,1659855323
364,karratha,-20.7377,116.8463,78.69,19,0,8.25,AU,1659855323
365,bonfim,3.0833,-59.95,74.82,80,9,3.85,BR,1659855324
366,paray-le-monial,46.4546,4.1158,66.97,57,0,2.3,FR,1659855324
367,tim,51.6222,37.1244,78.22,40,0,7.0,RU,1659855324
368,san quintin,30.4833,-115.95,71.11,87,81,6.04,MX,1659855325
369,sao jose da coroa grande,-8.8978,-35.1478,73.63,89,69,9.31,BR,1659855133
370,san cristobal,7.7669,-72.225,68.18,94,100,2.44,VE,1659855325
371,malaryta,51.7905,24.074,58.78,54,90,9.82,BY,1659855325
372,giddalur,15.35,78.9167,82.31,72,100,17.4,IN,1659855325
373,kalivai,35.4512,24.1735,82.02,65,20,9.22,GR,1659855326
374,chaltyr,47.2848,39.4823,82.74,32,5,10.69,RU,1659855326
375,cherskiy,68.75,161.3,43.52,56,10,16.11,RU,1659855326
376,batsfjord,70.6345,29.7185,49.93,100,100,23.02,NO,1659855326
377,yuli,9.6989,10.2744,75.47,89,100,5.53,NG,1659855327
378,port augusta,-32.5,137.7667,57.38,51,5,11.25,AU,1659855327
379,kirakira,-10.4544,161.9205,81.18,82,24,10.56,SB,1659855327
380,hervey bay,-25.2986,152.8535,65.61,51,0,8.16,AU,1659855328
381,chara,56.9064,118.2631,58.06,66,71,4.7,RU,1659855328
382,hastings,50.8552,0.5729,66.92,67,51,5.32,GB,1659855328
383,banyo,6.75,11.8167,68.14,92,100,0.34,CM,1659855328
384,bayan,46.0833,127.4,75.97,89,100,14.12,CN,1659855329
385,asau,46.4333,26.4,74.32,64,51,6.67,RO,1659855329
386,palmerston north,-40.35,175.6167,56.05,88,25,4.65,NZ,1659855329
387,uusikaupunki,60.8004,21.4084,59.67,66,17,11.79,FI,1659855329
388,cabedelo,-6.9811,-34.8339,72.27,86,46,9.35,BR,1659855330
389,broome,42.2506,-75.833,74.17,91,13,3.24,US,1659855330
390,bagar,28.1874,75.5005,95.05,46,100,6.51,IN,1659855330
391,bayji,34.9311,43.487,103.17,11,0,17.4,IQ,1659855330
392,winneba,5.3511,-0.6231,71.94,88,70,4.9,GH,1659855331
393,radstadt,47.3833,13.45,65.17,97,100,1.92,AT,1659855331
394,meadow lake,34.8014,-106.5436,73.9,79,32,0.96,US,1659855331
395,novoilinsk,51.6829,108.7143,65.34,43,61,15.05,RU,1659855331
396,sovetskiy,61.3614,63.5842,83.3,37,44,3.0,RU,1659855332
397,yinchuan,38.4681,106.2731,95.94,28,77,8.97,CN,1659855332
398,bratsk,56.1325,101.6142,66.69,48,100,10.42,RU,1659855332
399,kahului,20.8947,-156.47,79.84,83,100,5.01,US,1659855333
400,san ignacio,17.1561,-89.0714,73.54,94,0,0.0,BZ,1659855333
401,iquique,-20.2208,-70.1431,57.24,73,6,7.31,CL,1659855238
402,olafsvik,64.8945,-23.7142,51.4,90,100,18.43,IS,1659855333
403,pontianak,-0.0333,109.3333,89.58,59,75,11.5,ID,1659855333
404,boldumsaz,42.1282,59.671,89.65,20,5,8.59,TM,1659855334
405,salacgriva,57.7536,24.3581,65.68,57,3,8.95,LV,1659855334
406,cayambe,0.05,-78.1333,47.46,86,71,6.13,EC,1659855334
407,pedernales,18.0384,-71.744,81.16,71,100,3.96,DO,1659855334
408,ambon,-3.6954,128.1814,77.14,94,40,12.66,ID,1659855335
409,altamira,-3.2033,-52.2064,70.43,88,98,2.8,BR,1659855335
410,miguel hidalgo,19.4225,-99.2028,61.59,71,100,5.01,MX,1659855335
411,catuday,16.2923,119.8062,81.59,76,100,17.81,PH,1659855335
412,morondava,-20.2833,44.2833,74.57,48,0,3.24,MG,1659855336
413,polunochnoye,60.8697,60.4153,83.07,42,22,3.36,RU,1659855336
414,mansa,29.9833,75.3833,95.81,49,97,6.49,IN,1659855337
415,north bend,43.4065,-124.2243,58.15,100,100,3.44,US,1659855337
416,dalbandin,28.8947,64.4101,99.07,13,56,2.33,PK,1659855337
417,port-cartier,50.0334,-66.8654,60.48,82,100,1.83,CA,1659855338
418,mayumba,-3.432,10.6554,69.21,84,94,7.4,GA,1659855338
419,comodoro rivadavia,-45.8667,-67.5,39.06,93,75,5.75,AR,1659855338
420,courtenay,49.6866,-124.9936,69.73,54,0,9.22,CA,1659855338
421,ghanzi,-21.5667,21.7833,70.45,23,2,10.87,BW,1659855339
422,mugango,-1.6833,33.7,69.98,41,39,6.91,TZ,1659855339
423,nova serrana,-19.8761,-44.9836,62.64,78,19,3.18,BR,1659855339
424,gorontalo,0.5412,123.0595,81.07,82,100,1.32,ID,1659855339
425,hailar,49.2,119.7,71.6,32,0,20.04,CN,1659855340
426,bangangte,5.1409,10.5198,63.05,95,89,3.0,CM,1659855340
427,fare,-16.7,-151.0167,77.07,75,68,24.56,PF,1659855340
428,husavik,66.0449,-17.3389,53.98,86,100,7.23,IS,1659855340
429,nabire,-3.3667,135.4833,82.15,82,100,3.2,ID,1659855341
430,derzhavinsk,51.1,66.3167,81.46,30,9,12.97,KZ,1659855341
431,aldan,58.6031,125.3894,64.33,59,61,2.19,RU,1659855341
432,veraval,20.9,70.3667,85.12,76,87,11.61,IN,1659855341
433,atambua,-9.1061,124.8925,82.13,60,11,1.66,ID,1659855342
434,vuktyl,63.8567,57.3094,82.02,41,4,8.43,RU,1659855342
435,shajapur,23.4333,76.2667,84.79,73,100,5.57,IN,1659855342
436,aktau,43.65,51.2,86.58,31,80,17.69,KZ,1659855342
437,san pedro,14.35,121.0167,85.23,88,75,3.44,PH,1659855343
438,izhma,65.0083,53.9113,84.04,35,0,11.25,RU,1659855343
439,havre,49.5833,0.3333,64.2,63,0,5.75,FR,1659855343
440,morvi,22.8167,70.8333,90.97,59,48,7.58,IN,1659855343
441,emerald,-23.5333,148.1667,72.34,42,0,6.78,AU,1659855344
442,quesnel,52.9999,-122.5029,61.3,82,0,2.3,CA,1659855344
443,price,39.5994,-110.8107,72.12,72,48,8.63,US,1659855344
444,nome,64.5011,-165.4064,50.07,87,100,11.5,US,1659855345
445,cornwall,45.0181,-74.7281,76.96,83,0,5.75,CA,1659855159
446,novyy yarychiv,49.9044,24.3052,55.74,95,100,9.57,UA,1659855345
447,clinton,42.587,-82.9199,78.26,89,0,5.75,US,1659855125
448,zhengjiatun,43.5064,123.5064,80.8,78,57,11.59,CN,1659855345
449,omsukchan,62.5333,155.8,71.47,49,95,7.07,RU,1659855345
450,thinadhoo,0.5333,72.9333,82.54,73,100,6.76,MV,1659855346
451,aranos,-24.1333,19.1167,66.43,26,88,9.51,NA,1659855346
452,danjiangkou,32.5428,111.5086,107.24,32,100,4.32,CN,1659855347
453,isla mujeres,21.2311,-86.731,82.17,81,100,9.78,MX,1659855347
454,shushtar,32.0455,48.8567,110.43,25,0,9.04,IR,1659855347
455,zelenoborskiy,66.845,32.3622,56.05,80,22,18.68,RU,1659855347
456,taoru,28.2167,76.95,78.46,48,100,8.14,IN,1659855348
457,sainte-marie,-20.8968,55.5496,77.41,60,0,18.41,RE,1659855348
458,samur,41.8253,48.486,79.77,58,96,9.73,RU,1659855348
459,lerwick,60.1545,-1.1494,53.6,89,93,14.27,GB,1659855348
460,maniitsoq,65.4167,-52.9,38.98,96,100,12.19,GL,1659855349
461,cururupu,-1.8283,-44.8683,73.44,88,22,4.12,BR,1659855159
462,saravan,39.7196,45.6483,75.69,47,2,5.79,AM,1659855349
463,leningradskiy,69.3833,178.4167,31.96,92,100,17.25,RU,1659855349
464,nacogdoches,31.6002,-94.6335,78.66,89,0,4.61,US,1659855349
465,nyurba,63.2842,118.3319,58.93,58,100,5.5,RU,1659855350
466,uvinza,-5.1036,30.3911,76.14,33,69,10.89,TZ,1659855350
467,general roca,-39.0333,-67.5833,39.34,96,100,11.95,AR,1659855350
468,terrace bay,48.7834,-87.1,52.32,65,90,10.13,CA,1659855350
469,bilibino,68.0546,166.4372,45.66,57,17,8.34,RU,1659855351
470,gobabis,-22.45,18.9667,66.49,25,14,5.77,NA,1659855315
471,athens,37.9795,23.7162,86.25,53,20,15.99,GR,1659855077
472,salvador,13.8333,-88.9167,70.05,96,74,3.04,SV,1659855351
473,filadelfia,39.9523,-75.1638,80.56,88,100,4.0,US,1659855351
474,saint-francois,46.4154,3.9054,65.68,59,0,2.3,FR,1659855351
475,bani walid,31.7566,13.9942,81.36,44,0,2.53,LY,1659855352
476,vaitape,-16.5167,-151.75,77.72,74,100,23.09,PF,1659855352
477,byumba,-1.5763,30.0675,61.0,49,34,5.1,RW,1659855352
478,lubumbashi,-11.6609,27.4794,67.24,41,0,10.49,CD,1659855190
479,flinders,-34.5833,150.8552,57.38,68,9,12.71,AU,1659855353
480,ascension,30.2169,-90.9001,78.08,96,0,0.0,US,1659855353
481,caetite,-14.0694,-42.475,60.17,79,9,10.2,BR,1659855353
482,vatutine,49.015,31.0621,83.14,38,30,5.93,UA,1659855353
483,inyonga,-6.7167,32.0667,71.1,35,98,9.93,TZ,1659855354
484,kuala terengganu,5.3302,103.1408,87.75,74,20,5.01,MY,1659855354
485,palu,-0.8917,119.8707,79.68,92,100,3.6,ID,1659855354
486,huarmey,-10.0681,-78.1522,61.81,88,100,9.08,PE,1659855355
487,tuxtepec,18.1,-96.1167,72.57,94,100,3.89,MX,1659855355
488,ceccano,41.5677,13.3333,88.48,38,0,0.85,IT,1659855355
489,sur,22.5667,59.5289,91.45,57,39,6.76,OM,1659855355
490,tartagal,-22.5164,-63.8013,58.03,78,0,3.24,AR,1659855356
491,batagay,67.6333,134.6333,66.09,72,100,3.85,RU,1659855356
492,xingyi,24.1877,102.817,72.61,75,77,7.43,CN,1659855356
493,svay rieng,11.0879,105.7993,78.87,76,100,11.65,KH,1659855356
494,zary,51.6421,15.1373,65.98,56,9,3.0,PL,1659855357
495,hirara,24.8,125.2833,89.46,70,40,14.97,JP,1659855357
496,copiapo,-27.3667,-70.3333,47.89,56,0,2.04,CL,1659855358
497,vostok,46.4856,135.8833,82.27,46,100,2.59,RU,1659855358
498,kununurra,-15.7667,128.7333,96.78,23,100,5.75,AU,1659855358
499,komatipoort,-25.4332,31.9548,71.98,66,15,4.41,ZA,1659855358
500,upata,8.0086,-62.3989,75.2,97,14,2.68,VE,1659855358
501,rio grande,-32.035,-52.0986,52.95,87,91,12.46,BR,1659855359
502,petropavlovsk-kamchatskiy,53.0452,158.6483,61.39,67,75,6.71,RU,1659855359
503,korla,41.7597,86.1469,94.32,20,99,1.45,CN,1659855359
504,hualmay,-11.0964,-77.6139,60.75,87,99,10.0,PE,1659855359
505,ornskoldsvik,63.2909,18.7153,54.55,71,0,13.8,SE,1659855360
506,salinas,36.6777,-121.6555,63.41,74,11,1.61,US,1659855360
507,vallenar,-28.5708,-70.7581,53.53,67,0,3.31,CL,1659855360
508,abu samrah,35.3029,37.1841,85.41,36,0,17.4,SY,1659855360
509,lakes entrance,-37.8811,147.981,52.16,84,32,5.17,AU,1659855361
510,ambilobe,-13.2,49.05,84.63,33,0,3.71,MG,1659855361
511,lodja,-3.4833,23.4333,84.24,48,100,2.28,CD,1659855361
512,ahipara,-35.1667,173.1667,56.12,95,100,2.55,NZ,1659855362
513,port blair,11.6667,92.75,86.04,74,100,23.02,IN,1659855362
514,alugan,12.2188,125.4808,75.92,90,100,2.48,PH,1659855362
515,alausi,-2.2,-78.8333,45.27,84,96,7.7,EC,1659855363
516,birao,10.2849,22.7882,73.44,92,100,4.41,CF,1659855363
517,yar-sale,66.8333,70.8333,73.56,55,57,15.3,RU,1659855364
518,the valley,18.217,-63.0578,82.26,82,14,24.67,AI,1659855338
519,prilep,41.3464,21.5544,83.05,30,4,7.74,MK,1659855196
520,jiayuguan,39.8167,98.3,80.98,29,32,9.35,CN,1659855364
521,dhidhdhoo,6.8833,73.1,81.07,84,100,16.51,MV,1659855364
522,tres arroyos,-38.3739,-60.2798,39.96,91,96,5.3,AR,1659855365
523,tabou,4.423,-7.3528,72.95,75,39,4.56,CI,1659855365
524,solnechnyy,50.7214,136.6319,76.03,78,93,5.35,RU,1659855365
525,pandamatenga,-18.5278,25.627,69.44,32,0,7.67,BW,1659855366
526,grand gaube,-20.0064,57.6608,75.6,67,0,8.99,MU,1659855308
527,herbertpur,30.45,77.7333,83.95,75,95,4.43,IN,1659855366
528,qiryat gat,31.61,34.7642,87.4,100,0,5.97,IL,1659855366
529,asheboro,35.7079,-79.8136,72.18,98,0,0.0,US,1659855366
530,teya,60.3778,92.6267,69.76,64,70,6.6,RU,1659855367
531,peleduy,59.6289,112.7406,51.53,94,100,13.22,RU,1659855367
532,krasnoarmeysk,51.0239,45.6969,81.34,33,31,8.97,RU,1659855367
533,ouallam,14.3188,2.0866,82.65,65,5,13.78,NE,1659855368
534,purgstall,48.0584,15.1348,67.55,68,95,3.67,AT,1659855368
535,camocim,-2.9022,-40.8411,74.97,90,0,13.76,BR,1659855368
536,buala,-8.145,159.5921,82.42,75,100,6.17,SB,1659855368
537,jining,35.405,116.5814,94.17,62,100,13.62,CN,1659855251
538,erenhot,43.6475,111.9767,81.88,32,2,12.62,CN,1659855369
539,burns lake,54.2331,-125.7533,56.62,85,0,2.26,CA,1659855369
540,kwinana,-32.25,115.7667,65.17,55,52,3.0,AU,1659855369
541,shingu,33.7333,135.9833,84.25,76,97,3.44,JP,1659855370
542,sarakhs,36.5449,61.1577,99.03,13,0,8.59,IR,1659855370
543,braco do norte,-28.275,-49.1656,54.45,99,100,0.58,BR,1659855370
544,tukrah,32.5341,20.5791,83.05,65,0,10.22,LY,1659855370
545,baiyin,36.5583,104.2081,88.63,36,51,11.07,CN,1659855371
546,whitehorse,60.7161,-135.0538,50.81,90,100,0.0,CA,1659855358
547,huilong,31.8111,121.655,91.78,61,76,13.94,CN,1659855371
548,khorixas,-20.3667,14.9667,69.66,32,0,2.93,NA,1659855371
549,czersk,53.7959,17.9765,60.46,54,87,6.13,PL,1659855372
550,gulu,2.7746,32.299,74.57,69,93,0.92,UG,1659855372
551,dunhua,43.3725,128.2425,68.81,97,100,4.32,CN,1659855372
552,kurilsk,45.2333,147.8833,60.62,76,100,5.5,RU,1659855373
553,smithers,54.7804,-127.1743,59.32,77,0,2.3,CA,1659855373
554,shubarshi,48.5872,57.1869,84.87,23,5,12.55,KZ,1659855373
555,prado,-17.3411,-39.2208,66.24,92,33,3.56,BR,1659855373
556,auckland,-36.8667,174.7667,54.79,97,100,4.61,NZ,1659855374
557,aden,12.7794,45.0367,84.6,72,16,26.78,YE,1659855374
558,payakumbuh,-0.2202,100.6308,89.53,42,16,1.54,ID,1659855374
559,racale,39.9631,18.0938,84.83,53,0,12.39,IT,1659855289
560,vardo,70.3705,31.1107,51.78,93,100,14.97,NO,1659855375
561,cap malheureux,-19.9842,57.6142,75.47,67,0,8.99,MU,1659855375
562,farafangana,-22.8167,47.8333,71.83,72,0,5.37,MG,1659855375
563,kargasok,59.0556,80.8572,70.9,59,61,7.85,RU,1659855376
564,pangkalanbuun,-2.6833,111.6167,91.18,43,82,5.26,ID,1659855376
565,bulgan,48.8125,103.5347,65.1,54,26,4.52,MN,1659855376
566,sola,-13.8833,167.55,81.27,83,75,3.44,VU,1659855376
567,doka,13.5167,35.7667,74.17,83,100,9.78,SD,1659855377
568,yongan,39.6957,113.6871,87.93,46,64,7.2,CN,1659855377
569,bar harbor,44.3876,-68.2039,71.94,96,63,6.33,US,1659855377
570,miraflores,19.2167,-98.8083,61.03,85,100,2.75,MX,1659855377
571,turkmenabat,39.0733,63.5786,96.78,15,0,11.5,TM,1659855286
572,pochutla,15.7432,-96.4661,75.81,92,99,3.56,MX,1659855378
